patch1,patch2,annotated
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209300938179_202209300938365/patches_img1/tiles_202209300938179_34880_39360.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209300938179_202209300938365/patches_img2/tiles_202209300938365_34880_39360.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202106050946389/patches_img1/tiles_202106050946389_40320_41920.PNG,,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209300938470_202209300939059/patches_img1/tiles_202209300938470_00000_04800.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209300938470_202209300939059/patches_img2/tiles_202209300939059_00000_04800.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209300938179_202209300938365/patches_img1/tiles_202209300938179_35200_40320.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209300938179_202209300938365/patches_img2/tiles_202209300938365_35200_40320.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209300938554_202210190942449/patches_img1/tiles_202209300938554_31360_37760.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209300938554_202210190942449/patches_img2/tiles_202210190942449_31360_37760.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/201604150935079/patches_img1/tiles_201604150935079_20160_25600.PNG,,False
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202210190942078_202210190942261/patches_img1/tiles_202210190942078_39040_42880.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202210190942078_202210190942261/patches_img2/tiles_202210190942261_39040_42880.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202206170946179_202206170946403/patches_img1/tiles_202206170946179_23360_30080.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202206170946179_202206170946403/patches_img2/tiles_202206170946403_23360_30080.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202106050946389/patches_img1/tiles_202106050946389_23040_29440.PNG,,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209040938593/patches_img1/tiles_202209040938593_40320_43840.PNG,,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202206170946179_202206170946403/patches_img1/tiles_202206170946179_30720_35200.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202206170946179_202206170946403/patches_img2/tiles_202206170946403_30720_35200.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209300938554_202210190942449/patches_img1/tiles_202209300938554_31040_36800.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209300938554_202210190942449/patches_img2/tiles_202210190942449_31040_36800.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/201503040923064_201503040923435/patches_img1/tiles_201503040923064_01280_07680.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/201503040923064_201503040923435/patches_img2/tiles_201503040923435_01280_07680.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/201307060936294/patches_img1/tiles_201307060936294_27520_30400.PNG,,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202206170946179_202206170946403/patches_img1/tiles_202206170946179_29760_34880.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202206170946179_202206170946403/patches_img2/tiles_202206170946403_29760_34880.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209300938554_202210190942449/patches_img1/tiles_202209300938554_36160_42240.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209300938554_202210190942449/patches_img2/tiles_202210190942449_36160_42240.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/201307050942224_201307050942356/patches_img1/tiles_201307050942224_02880_08000.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/201307050942224_201307050942356/patches_img2/tiles_201307050942356_02880_08000.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202109040946358/patches_img1/tiles_202109040946358_31040_30080.PNG,,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209300938554_202210190942449/patches_img1/tiles_202209300938554_43840_46400.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209300938554_202210190942449/patches_img2/tiles_202210190942449_43840_46400.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202106050946271_202106050946506/patches_img1/tiles_202106050946271_14080_21760.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202106050946271_202106050946506/patches_img2/tiles_202106050946506_14080_21760.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202210190942078_202210190942261/patches_img1/tiles_202210190942078_35520_40640.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202210190942078_202210190942261/patches_img2/tiles_202210190942261_35520_40640.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202106050946271_202106050946506/patches_img1/tiles_202106050946271_40640_42560.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202106050946271_202106050946506/patches_img2/tiles_202106050946506_40640_42560.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202109040946358/patches_img1/tiles_202109040946358_31360_30080.PNG,,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209300938179_202209300938365/patches_img1/tiles_202209300938179_27200_33280.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209300938179_202209300938365/patches_img2/tiles_202209300938365_27200_33280.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202206170946179_202206170946403/patches_img1/tiles_202206170946179_23680_29760.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202206170946179_202206170946403/patches_img2/tiles_202206170946403_23680_29760.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/201604150935079/patches_img1/tiles_201604150935079_27520_30400.PNG,,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/201503040923064_201503040923435/patches_img1/tiles_201503040923064_05760_10240.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/201503040923064_201503040923435/patches_img2/tiles_201503040923435_05760_10240.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/201604150935079/patches_img1/tiles_201604150935079_34880_36480.PNG,,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/201604150935079/patches_img1/tiles_201604150935079_19520_25600.PNG,,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209040938510_202209040939098/patches_img1/tiles_202209040938510_04480_05440.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202209040938510_202209040939098/patches_img2/tiles_202209040939098_04480_05440.PNG,True
/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202106050946271_202106050946506/patches_img1/tiles_202106050946271_23360_30080.PNG,/share/projects/cicero/objdet/dataset/CICERO_stereo/images/3_Zakynthos/202106050946271_202106050946506/patches_img2/tiles_202106050946506_23360_30080.PNG,True
